T_gas_K,mdot,rho,u_ms,Mach,mu,k_gas,Pr,h_Wm2K
1000.0,0.349,0.517553,170.3193,0.1907,6.992e-05,0.144844,0.701581,421.253
1006.03,0.349078,0.516525,170.6963,0.191,7.001e-05,0.14506,0.701566,421.5251
1012.06,0.349156,0.515503,171.073,0.1912,7.01e-05,0.145275,0.701551,421.7962
1018.09,0.349234,0.514486,171.4492,0.1914,7.019e-05,0.14549,0.701536,422.0665
1024.12,0.349312,0.513475,171.8251,0.1917,7.027e-05,0.145704,0.70152,422.3359
1030.15,0.349389,0.51247,172.2006,0.1919,7.036e-05,0.145918,0.701504,422.6044
1036.18,0.349467,0.51147,172.5758,0.1921,7.045e-05,0.14613,0.701488,422.8721
1042.21,0.349545,0.510476,172.9505,0.1924,7.054e-05,0.146343,0.701471,423.1388
1048.24,0.349623,0.509487,173.3248,0.1926,7.062e-05,0.146554,0.701454,423.4047
1054.27,0.349701,0.508503,173.6988,0.1928,7.071e-05,0.146765,0.701437,423.6698
1060.3,0.349779,0.507525,174.0723,0.1931,7.08e-05,0.146975,0.701419,423.934
1066.33,0.349857,0.506552,174.4454,0.1933,7.088e-05,0.147185,0.701401,424.1973
1072.36,0.349935,0.505585,174.8182,0.1935,7.097e-05,0.147394,0.701382,424.4599
1078.39,0.350013,0.504622,175.1905,0.1937,7.105e-05,0.147602,0.701363,424.7216
1084.42,0.35009,0.503666,175.5624,0.194,7.114e-05,0.14781,0.701344,424.9824
1090.45,0.350168,0.502714,175.9339,0.1942,7.122e-05,0.148017,0.701324,425.2425
1096.48,0.350246,0.501767,176.3049,0.1944,7.131e-05,0.148224,0.701304,425.5017
1102.51,0.350324,0.500826,176.6756,0.1947,7.139e-05,0.14843,0.701284,425.7601
1108.54,0.350402,0.49989,177.0458,0.1949,7.148e-05,0.148635,0.701263,426.0177
1114.57,0.35048,0.498959,177.4157,0.1951,7.156e-05,0.148839,0.701241,426.2746
1120.6,0.350558,0.498033,177.7851,0.1953,7.164e-05,0.149043,0.701219,426.5306
1126.63,0.350636,0.497112,178.1541,0.1956,7.173e-05,0.149247,0.701197,426.7859
1132.66,0.350714,0.496195,178.5226,0.1958,7.181e-05,0.149449,0.701174,427.0404
1138.69,0.350791,0.495284,178.8907,0.196,7.189e-05,0.149652,0.701151,427.2941
1144.72,0.350869,0.494378,179.2585,0.1962,7.198e-05,0.149853,0.701127,427.5471
1150.75,0.350947,0.493477,179.6257,0.1965,7.206e-05,0.150054,0.701103,427.7993
1156.78,0.351025,0.49258,179.9926,0.1967,7.214e-05,0.150254,0.701079,428.0508
1162.81,0.351103,0.491689,180.359,0.1969,7.222e-05,0.150454,0.701053,428.3016
1168.84,0.351181,0.490802,180.725,0.1971,7.23e-05,0.150653,0.701028,428.5516
1174.87,0.351259,0.489919,181.0906,0.1973,7.239e-05,0.150852,0.701002,428.8009
1180.9,0.351337,0.489042,181.4558,0.1976,7.247e-05,0.151049,0.700975,429.0494
1186.93,0.351415,0.488169,181.8205,0.1978,7.255e-05,0.151247,0.700948,429.2973
1192.96,0.351492,0.487301,182.1848,0.198,7.263e-05,0.151443,0.70092,429.5445
1198.99,0.35157,0.486437,182.5487,0.1982,7.271e-05,0.15164,0.700892,429.791
1205.03,0.351648,0.485578,182.9121,0.1985,7.279e-05,0.151835,0.700864,430.0368
1211.06,0.351726,0.484724,183.2752,0.1987,7.287e-05,0.15203,0.700834,430.2819
1217.09,0.351804,0.483874,183.6378,0.1989,7.295e-05,0.152225,0.700805,430.5263
1223.12,0.351882,0.483028,184.0,0.1991,7.302e-05,0.152418,0.700774,430.7701
1229.15,0.35196,0.482187,184.3617,0.1993,7.31e-05,0.152612,0.700744,431.0133
1235.18,0.352038,0.481351,184.723,0.1995,7.318e-05,0.152804,0.700712,431.2558
1241.21,0.352116,0.480518,185.0839,0.1998,7.326e-05,0.152997,0.70068,431.4976
1247.24,0.352193,0.47969,185.4444,0.2,7.334e-05,0.153188,0.700648,431.7388
1253.27,0.352271,0.478867,185.8045,0.2002,7.342e-05,0.153379,0.700615,431.9795
1259.3,0.352349,0.478047,186.1642,0.2004,7.349e-05,0.15357,0.700581,432.2194
1265.33,0.352427,0.477232,186.5234,0.2006,7.357e-05,0.15376,0.700547,432.4588
1271.36,0.352505,0.476421,186.8822,0.2008,7.365e-05,0.153949,0.700512,432.6976
1277.39,0.352583,0.475614,187.2406,0.2011,7.372e-05,0.154138,0.700477,432.9358
1283.42,0.352661,0.474811,187.5986,0.2013,7.38e-05,0.154327,0.700441,433.1734
1289.45,0.352739,0.474013,187.9562,0.2015,7.388e-05,0.154514,0.700404,433.4104
1295.48,0.352817,0.473218,188.3134,0.2017,7.395e-05,0.154702,0.700367,433.6469
1301.51,0.352894,0.472427,188.6701,0.2019,7.403e-05,0.154889,0.700329,433.8828
1307.54,0.352972,0.471641,189.0265,0.2021,7.41e-05,0.155075,0.70029,434.1181
1313.57,0.35305,0.470858,189.3824,0.2023,7.418e-05,0.155261,0.700251,434.353
1319.6,0.353128,0.47008,189.738,0.2025,7.425e-05,0.155446,0.700212,434.5872
1325.63,0.353206,0.469305,190.0931,0.2028,7.433e-05,0.155631,0.700171,434.821
1331.66,0.353284,0.468534,190.4479,0.203,7.44e-05,0.155815,0.70013,435.0542
1337.69,0.353362,0.467767,190.8022,0.2032,7.448e-05,0.155999,0.700089,435.2869
1343.72,0.35344,0.467004,191.1562,0.2034,7.455e-05,0.156183,0.700046,435.5191
1349.75,0.353518,0.466244,191.5097,0.2036,7.463e-05,0.156365,0.700003,435.7508
1355.78,0.353595,0.465489,191.8629,0.2038,7.47e-05,0.156548,0.69996,435.982
1361.81,0.353673,0.464737,192.2157,0.204,7.477e-05,0.15673,0.699915,436.2127
1367.84,0.353751,0.463988,192.5681,0.2042,7.484e-05,0.156911,0.69987,436.443
1373.87,0.353829,0.463244,192.9201,0.2044,7.492e-05,0.157092,0.699825,436.6728
1379.9,0.353907,0.462503,193.2717,0.2046,7.499e-05,0.157273,0.699778,436.9021
1385.93,0.353985,0.461765,193.623,0.2048,7.506e-05,0.157453,0.699731,437.131
1391.96,0.354063,0.461031,193.9739,0.2051,7.513e-05,0.157633,0.699684,437.3595
1397.99,0.354141,0.460301,194.3244,0.2053,7.521e-05,0.157812,0.699635,437.5875
1404.02,0.354219,0.459574,194.6745,0.2055,7.528e-05,0.157991,0.699586,437.815
1410.05,0.354296,0.458851,195.0242,0.2057,7.535e-05,0.158169,0.699536,438.0422
1416.08,0.354374,0.458131,195.3736,0.2059,7.542e-05,0.158347,0.699486,438.2689
1422.11,0.354452,0.457415,195.7226,0.2061,7.549e-05,0.158525,0.699435,438.4953
1428.14,0.35453,0.456702,196.0713,0.2063,7.556e-05,0.158702,0.699383,438.7212
1434.17,0.354608,0.455992,196.4196,0.2065,7.563e-05,0.158879,0.69933,438.9467
1440.2,0.354686,0.455286,196.7675,0.2067,7.57e-05,0.159055,0.699276,439.1719
1446.23,0.354764,0.454583,197.1151,0.2069,7.577e-05,0.159231,0.699222,439.3967
1452.26,0.354842,0.453883,197.4623,0.2071,7.584e-05,0.159407,0.699167,439.6211
1458.29,0.35492,0.453186,197.8092,0.2073,7.591e-05,0.159582,0.699112,439.8452
1464.32,0.354997,0.452493,198.1557,0.2075,7.598e-05,0.159757,0.699055,440.0689
1470.35,0.355075,0.451803,198.5019,0.2077,7.605e-05,0.159931,0.698998,440.2922
1476.38,0.355153,0.451116,198.8477,0.2079,7.612e-05,0.160105,0.69894,440.5152
1482.41,0.355231,0.450433,199.1932,0.2081,7.619e-05,0.160279,0.698882,440.7379
1488.44,0.355309,0.449752,199.5384,0.2083,7.625e-05,0.160452,0.698822,440.9603
1494.47,0.355387,0.449075,199.8832,0.2085,7.632e-05,0.160625,0.698762,441.1823
1500.5,0.355465,0.4484,200.2277,0.2087,7.639e-05,0.160797,0.698701,441.4041
1506.53,0.355543,0.447729,200.5719,0.2089,7.646e-05,0.16097,0.69864,441.6255
1512.56,0.355621,0.447061,200.9158,0.2091,7.653e-05,0.161141,0.698577,441.8466
1518.59,0.355698,0.446395,201.2593,0.2093,7.659e-05,0.161313,0.698514,442.0675
1524.62,0.355776,0.445733,201.6025,0.2095,7.666e-05,0.161484,0.69845,442.2881
1530.65,0.355854,0.445073,201.9454,0.2097,7.673e-05,0.161655,0.698385,442.5084
1536.68,0.355932,0.444417,202.288,0.2099,7.679e-05,0.161826,0.698319,442.7284
1542.71,0.35601,0.443763,202.6302,0.2101,7.686e-05,0.161996,0.698253,442.9482
1548.74,0.356088,0.443113,202.9722,0.2103,7.693e-05,0.162166,0.698185,443.1677
1554.77,0.356166,0.442465,203.3139,0.2105,7.699e-05,0.162335,0.698117,443.387
1560.8,0.356244,0.44182,203.6552,0.2107,7.706e-05,0.162505,0.698048,443.606
1566.83,0.356322,0.441177,203.9963,0.2109,7.712e-05,0.162674,0.697979,443.8248
1572.86,0.356399,0.440538,204.337,0.2111,7.719e-05,0.162843,0.697908,444.0434
1578.89,0.356477,0.439901,204.6775,0.2113,7.726e-05,0.163011,0.697837,444.2617
1584.92,0.356555,0.439267,205.0177,0.2115,7.732e-05,0.163179,0.697764,444.4799
1590.95,0.356633,0.438636,205.3576,0.2117,7.738e-05,0.163347,0.697691,444.6978
1596.98,0.356711,0.438008,205.6972,0.2119,7.745e-05,0.163515,0.697618,444.9156
1603.02,0.356789,0.437382,206.0366,0.2121,7.751e-05,0.163682,0.697543,445.1331
1609.05,0.356867,0.436758,206.3756,0.2123,7.758e-05,0.163849,0.697467,445.3505
1615.08,0.356945,0.436138,206.7144,0.2125,7.764e-05,0.164016,0.697391,445.5677
1621.11,0.357023,0.43552,207.0529,0.2127,7.771e-05,0.164182,0.697314,445.7847
1627.14,0.357101,0.434904,207.3912,0.2129,7.777e-05,0.164349,0.697236,446.0016
1633.17,0.357178,0.434291,207.7291,0.213,7.783e-05,0.164515,0.697157,446.2183
